quarter,vol_pos_uni,vol_neg_uni,me,bm,turn,sue,rvar_capm,nasdaq,const,numbers
2016-06,0.013554529388526705,-0.042987862912306773,-0.012828509174400213,0.03148291941548817,-0.031752639839399056,-0.0004924568871433073,-0.022569551800713634,0.003480082692702783,0.3298048862249151,1786
2016-09,0.0152894609458432,-0.03361326880779882,-0.003855988452528481,0.013279551908641406,-0.030846791527595143,-0.002570513173132371,-0.003390237616900757,0.012965314488480026,0.14836444121395603,1823
2016-12,5.1789471399898285e-05,-0.0409501886660846,-0.0002557645455950174,0.008663282148748298,-0.02762867532459186,-0.006970352693036356,0.003980443950872388,0.011664177938010608,0.17774329408724893,1823
2017-03,0.012889444257754457,-0.02424921177806626,-0.006004081119419577,0.026917399639475308,-0.020606221880511144,-0.0011562710703340614,-0.009396702428319817,0.018315736022328083,0.20861923615229205,1866
2017-06,0.0177759370579565,-0.03739711698973518,-0.005568036917840304,0.009787083664721112,-0.010730062456614993,0.001986306732701535,-0.018077457687099122,0.016105764513920654,-0.003960780873278953,1876
2017-09,0.010602668814458122,-0.04685440888415473,-0.010525661366609304,-9.910434310714256e-06,0.001592377961298061,-0.00432285807915961,-0.01805951459812415,0.027506651498698846,0.01974212547835584,1854
2017-12,0.029956937238020884,-0.03857442647547668,-0.0015215117363963143,0.013096981826227724,0.01298366334496975,-0.0026628911060045356,-0.016819567693327393,0.008565372874803273,-0.0906690439088563,1800
2018-03,0.009452450044855894,-0.03805649539285104,-0.012816377053554859,0.008510039631363509,0.0010929559223382462,0.0014061335327694292,-0.009087844793758865,0.04675610372006932,0.13959373311272233,1828
2018-06,0.024088816479059375,-0.031156670213455282,-0.016471116499588552,-0.009743723420889422,-0.005668962546792973,-0.0008543177217440927,-0.01894823677589269,0.003919362621649722,-0.05045380450498422,1850
2018-09,0.020227242803848973,-0.04526470886641937,-0.013599857333782557,-0.0050181389267917615,-0.009548357934381236,0.0008807667884886423,-0.007835217296065186,0.033409852866269095,0.06405262133610322,1847
2018-12,0.012815712168383982,-0.03803544980170283,-0.01789314971171018,0.0040547634463128064,-0.017551341092557272,-0.0052558244004060894,-0.028328684326572238,0.037843395012188294,0.04200998339958838,1837
2019-03,0.025615396900910622,-0.03233184011429468,-0.005724487517675024,0.006952043376259565,-0.02084667250600888,0.003070856931485972,-0.013127414181800905,0.03678048784269122,-0.03194832836032888,1849
2019-06,0.01051934801873299,-0.04704173893573253,-0.014417402465655895,0.009572995043835452,-0.036998987407353884,-0.0005312322738638799,0.0014269768805028182,0.01783475358278611,0.33594838205792016,1828
2019-09,0.02637769473167989,-0.0371885099202498,-0.010736273275484823,0.006491372535975632,-0.021431686872142586,0.0016447697228445402,-0.006620587604259633,0.003921544879196608,0.12804211837168272,1799
2019-12,0.022648712481850932,-0.030809093882917915,-0.014797293755195517,-0.0029624766058757193,0.0009617020437091704,-0.0024111641969953813,-0.011040687451557703,0.029480182813000577,0.032036158408238695,1799
2020-03,-0.00045544034529533886,-0.03423853985189109,-0.004313700990204452,-0.009761171325133716,-0.007954137852712963,0.00040274730237766475,0.015956582803051574,0.04038316402449631,0.11765725983828702,1814
2020-06,0.01118083131734374,-0.03836112870417992,-0.0180219144861417,-0.003639150387265807,-0.037010448005411214,0.0021778435954869324,-0.008719966952100401,0.01577411464032286,0.2121793573003611,1783
2020-09,0.01860483940791204,-0.020291028644667135,-0.010520647043512268,-0.00911918989648027,-0.0007294232570140636,-0.00108723740798888,-0.0012303690610642511,0.010513268419162143,0.015057051959593528,1845
